"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Afghanistan","AFG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","260.357","348.365","0","216.353","440.04","300.694","333.697","399.703","476.71","300.694","513.38","300.694","385.035","187.017","304.361","396.036","616.056","931.418","1191.775","1202.776","392.369","440.04","480.377","403.37","388.702","363.033","352.032","337.364","322.696","308.028","282.359","264.024","242.022","223.687","209.019","546.383","465.709","227.354","330.03","330.03","308.028","297.027","271.358","271.358","308.028","308.028","297.027","271.358","","","","","",
"Angola","AGO","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","84.341","84.341","110.01","124.678","132.012","124.678","110.01","135.679","135.679","135.679","146.68","172.349","172.349","198.018","220.02","220.02","245.689","297.027","300.694","319.029","1012.092","1085.432","1067.097","1048.762","971.755","1048.762","1048.762","1067.097","1085.432","1048.762","1085.432","990.09","1158.772","1217.444","1441.131","1250.447","1305.452","1595.145","1272.449","1290.784","1371.458","1408.128","1422.796","766.403","579.386","","","","","",
"Albania","ALB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","84.341","84.341","84.341","84.341","84.341","84.341","102.676","128.345","146.68","168.682","187.017","242.022","278.692","366.7","429.039","553.717","671.061","700.397","678.395","707.731","773.737","806.74","865.412","975.422","1045.095","971.755","1052.429","451.041","355.699","447.374","465.709","275.025","198.018","157.681","99.009","51.338","44.004","36.67","33.003","29.336","22.002","14.668","25.669","25.669","33.003","22.002","22.002","33.003","14.668","18.335","25.669","29.336","29.336","33.003","58.672","","","","","",
"Andorra","AND","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Arab World","ARB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","11403.5777261215","17068.5558557816","21233.9809511199","20621.7603324562","25976.7533387423","28708.4972384758","26875.3040413201","52579.4277109273","52377.6238389105","98689.7086566387","105680.499392917","71495.6849973265","74884.466999117","126987.942181703","138631.644835046","167801.823392032","183748.136901581","192459.971980341","207058.387929627","236373.256055229","260052.846245268","271487.129786141","302623.24341269","319536.030362432","292907.710828426","313118.605354737","308257.035016957","326877.838462523","329103.205166436","346407.808817893","341127.793458864","380918.110933966","397728.188651219","432805.293568802","489394.276624214","506094.037017683","515995.967838686","563542.734389479","571611.115208283","617752.95643168","658842.212316473","700486.471565053","700809.589961779","736462.853995776","","","","","",
"United Arab Emirates","ARE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","872.746","1151.438","1133.103","440.04","1107.434","1309.119","1631.815","1796.83","1521.805","1686.82","1114.768","1279.783","7176.319","8782.465","11158.681","11686.729","10689.305","14745.007","18423.008","22137.679","25144.619","25580.992","31085.159","30725.793","36827.681","34029.76","35628.572","41301.421","44909.749","54282.601","53200.836","55951.086","57025.517","60380.822","61979.634","69584.992","72272.903","77139.012","78290.45","82628.511","91370.639","107890.474","113563.323","116962.632","130277.509","132712.397","136507.742","127802.284","","","","","",
"Argentina","ARG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","2365.215","4033.7","5111.798","5834.197","6472.255","7253.326","7854.714","8214.08","9149.165","9112.495","10289.602","11030.336","12478.801","14198.624","14935.691","15735.097","16479.498","16919.538","16439.161","18030.639","19581.78","20502.197","23267.115","26285.056","27322.817","28833.621","30989.817","36728.672","42265.842","44645.725","43248.598","47322.635","48342.061","40839.379","42713.216","53237.506","57590.235","61554.262","61664.272","67674.485","69493.317","64861.896","62669.03","69126.617","82980.543","82034.457","83937.63","87248.931","90193.532","88066.672","86999.575","92661.423","95459.344","90835.257","96691.456","","","","","",
"Armenia","ARM","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3479.983","1507.137","1617.147","2618.238","2042.519","2680.577","2794.254","2277.207","2566.9","2614.571","2005.849","2229.536","2475.225","3065.612","3142.619","3762.342","4125.375","3171.955","2955.602","3758.675","4569.082","4426.069","4459.072","","","","","",
"American Samoa","ASM","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Australia","AUS","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","3.667","7.334","7.334","7.334","7.334","7.334","11.001","487.711","2757.584","4103.373","5848.865","6490.59","7715.368","8375.428","9266.509","11059.672","13813.589","15298.724","17685.941","20377.519","22548.383","22808.74","24070.188","30172.076","28114.889","28994.969","29710.034","30370.094","33875.746","31719.55","32848.986","34180.107","35712.913","38345.819","38496.166","38767.524","40344.334","42049.489","44147.013","46519.562","49134.133","46985.271","47080.613","43453.95","52951.48","60696.184","65488.953","67172.106","65136.921","68525.229","65430.281","69313.634","72606.6","","","","","",
"Austria","AUT","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","2922.599","3091.281","3241.628","3380.974","3523.987","3424.978","3674.334","3520.32","3747.674","4675.425","5676.516","6563.93","7088.311","7627.36","8280.086","8115.071","9270.176","9424.19","9809.225","9768.888","9292.178","8826.469","8551.444","8690.79","9728.551","10410.613","9255.508","9640.543","9237.173","10058.581","11873.746","12552.141","12324.787","12999.515","13369.882","14598.327","15540.746","14976.028","15375.731","15643.422","15082.371","15984.453","15955.117","17498.924","17814.286","18687.032","17546.595","16545.504","17484.256","16879.201","18602.691","17557.596","16780.192","16171.47","14759.675","","","","","",
"Azerbaijan","AZE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22618.056","17297.239","16684.85","13318.544","11745.401","11070.673","10608.631","11697.73","11430.039","16589.508","16633.512","17066.218","18639.361","18547.686","20483.862","17594.266","20755.22","18804.376","17982.968","19039.064","19849.471","19933.812","21202.594","","","","","",
