"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","179.683","447.374","612.389","649.059","1639.149","1683.153","1463.133","1595.145","1613.48","1668.485","1690.487","1745.492","1796.83","1807.831","2379.883","2409.219","2438.555","2563.233","2618.238","2720.914","2717.247","2823.59","2658.575","2629.239","2508.228","2500.894","1349.456","861.745","872.746","","","","","",
"Afghanistan","AFG","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","271.358","293.36","363.033","392.369","476.71","542.716","575.719","557.384","498.712","528.048","671.061","748.068","627.057","704.064","770.07","876.413","883.747","975.422","935.085","1166.106","924.084","1015.759","993.757","1221.111","1133.103","1547.474","1140.437","2016.85","1822.499","1866.503","1851.835","1719.823","927.751","894.748","858.078","825.075","781.071","726.066","689.396","495.045","498.712","491.378","440.04","601.388","594.054","861.745","1136.77","1199.109","2812.589","4946.783","5870.867","7609.025","6761.948","5749.856","5108.131","","","","","",
"Angola","AGO","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","348.365","311.695","1008.425","1034.094","1041.428","1012.092","1334.788","799.406","1419.129","2500.894","1745.492","1646.483","2478.892","2511.895","2453.223","2181.865","1936.176","1074.431","2680.577","2772.252","2658.575","2764.918","2159.863","2537.564","2291.875","1961.845","1870.17","2926.266","1906.84","1745.492","2478.892","2284.541","2291.875","2970.27","1298.118","8423.099","7044.307","3333.303","2764.918","3711.004","3670.667","4305.058","5023.79","6842.622","5038.458","4737.764","7763.039","8808.134","10227.263","12306.452","13380.883","14356.305","17201.897","17374.246","19471.77","","","","","",
"Albania","ALB","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","1576.81","1818.832","1958.178","1650.15","1536.473","1624.481","1899.506","1917.841","2185.532","2222.202","2482.559","2940.934","4085.038","3498.318","2423.887","2456.89","2654.908","2948.268","3285.632","3777.01","1573.143","3498.318","3146.286","3131.618","2948.268","2757.584","2871.261","2823.59","2577.901","4099.706","2174.531","2229.536","1415.462","1481.468","1606.146","1774.828","1756.493","1411.795","1628.148","2790.587","2845.592","3127.951","3641.331","3894.354","3762.342","3916.356","3545.989","3380.974","3799.012","3417.644","3494.651","3777.01","3157.287","3333.303","3861.351","","","","","",
"Andorra","AND","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407.037","407.037","407.037","410.704","407.037","425.372","454.708","465.709","491.378","513.38","524.381","524.381","531.715","535.382","561.051","575.719","546.383","539.049","539.049","517.047","517.047","491.378","487.711","476.71","462.042","","","","","",
"Arab World","ARB","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","50539.8027365298","55421.9887940244","64231.948597022","71037.6425448377","65300.1562231355","74549.054249344","86381.7714066837","61839.1598585662","77044.7886373685","78971.6423928286","84414.5454772997","97539.1722002051","98012.6276944038","108028.597025167","114260.592599969","123762.73426261","151814.054744479","183263.978231218","189202.357995664","231905.107414289","244112.184729833","278479.915331982","302071.945694073","340087.852739893","347721.863809145","366003.118201424","402481.212440506","390997.164057964","421415.762010827","414236.855447627","366920.667608786","423133.414501409","461299.799650037","512840.384960372","515659.096739788","508326.041876151","480986.739734395","454564.987","507927.171","516342.936","623760.367","622557.591","599972.538","665714.514","722553.014","724544.195","761925.593","719799.097","799108.973","869251.349","892613.806","868367.602","945007.902","924340.69","998716.648385911","","","","","",
"United Arab Emirates","ARE","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","11.001","11.001","18.335","22.002","18.335","22.002","25.669","47.671","91.675","139.346","539.049","590.387","810.407","1180.774","1716.156","2504.561","4341.728","7546.686","8441.434","9273.843","9020.82","13109.525","14202.291","14092.281","16175.137","17722.611","16666.515","16226.475","18316.665","19537.776","17638.27","17451.253","20590.205","27513.501","28587.932","22082.674","-16967.209","-17099.221","19134.406","15320.726","46655.241","34983.18","10318.938","28928.963","29302.997","30454.435","31719.55","33824.408","35096.857","41979.816","30425.099","22401.703","28382.58","17264.236","65719.974","","","","","",
"Argentina","ARG","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","41224.414","42155.832","45115.101","40678.031","45247.113","47362.972","48609.752","49812.528","52603.115","60622.844","63978.149","69375.973","69353.971","71268.145","71510.167","68968.936","71924.538","72764.281","72958.632","79137.527","76570.627","70116.707","69086.28","68730.581","67289.45","60487.165","62250.992","66508.379","66284.692","59801.436","59236.718","61282.904","63684.789","67205.109","67260.114","62885.383","65976.664","66922.75","69632.663","72071.218","66875.079","63714.125","57542.564","59405.4","67868.836","71858.532","81979.452","78015.425","88730.399","82448.828","90230.202","86992.241","85672.121","88836.742","94186.895","","","","","",
"Armenia","ARM","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1774.828","938.752","942.419","671.061","366.7","392.369","407.037","586.72","788.405","777.404","817.741","935.085","920.417","982.756","920.417","924.084","1034.094","953.42","1008.425","942.419","894.748","850.744","858.078","","","","","",
"American Samoa","ASM","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
