"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Afghanistan","AFG","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","128.345","176.016","297.027","264.024","300.694","381.368","429.039","399.703","333.697","363.033","436.373","359.366","190.684","311.695","304.361","399.703","425.372","451.041","575.719","352.032","315.362","333.697","385.035","385.035","392.369","399.703","425.372","443.707","366.7","337.364","278.692","249.356","22.002","18.335","14.668","14.668","7.334","3.667","3.667","3.667","3.667","69.673","55.005","91.675","91.675","106.343","161.348","748.068","1078.098","1536.473","2299.209","4305.058","3667","3942.025","4378.398","","","","","",
"Angola","AGO","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","124.678","62.339","91.675","22.002","77.007","55.005","88.008","55.005","102.676","91.675","47.671","29.336","7.334","22.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Albania","ALB","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","326.363","322.696","363.033","282.359","333.697","396.036","476.71","524.381","590.387","689.396","891.081","990.09","1081.765","1169.773","1210.11","1261.448","1272.449","1701.488","2126.86","2684.244","2324.878","2647.574","2882.262","3105.949","3402.976","3725.672","3711.004","3736.673","4019.032","4059.369","2500.894","1481.468","799.406","601.388","168.682","161.348","113.677","44.004","55.005","110.01","69.673","80.674","84.341","84.341","84.341","73.34","73.34","73.34","102.676","388.702","429.039","535.382","627.057","550.05","700.397","","","","","",
"Andorra","AND","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Arab World","ARB","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.674","407.037","476.71","542.716","627.057","1213.777","583.053","1562.142","1081.765","2577.901","1892.172","5647.18","7139.649","7909.719","","","","","",
"Argentina","ARG","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","3909.022","3542.322","2009.516","2306.543","2559.566","2603.57","2588.902","2940.934","2368.882","2592.569","3289.299","2929.933","2860.26","2882.262","3369.973","3597.327","3241.628","2706.246","3835.682","3604.661","2867.594","2959.269","2662.242","2192.866","2148.862","2775.919","3395.642","3780.677","4026.366","4147.377","3072.946","2691.578","2805.255","2302.876","3564.324","3703.67","3102.282","2779.586","2841.925","2156.196","1657.484","1290.784","1100.1","1991.181","2200.2","3270.964","3868.685","3663.333","3879.686","3234.294","3993.363","4726.763","4327.06","2379.883","5823.196","","","","","",
"Armenia","ARM","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374.034","7.334","95.342","7.334","14.668","14.668","14.668","7.334","0","0","47.671","73.34","0","3.667","3.667","14.668","18.335","0","11.001","7.334","7.334","3.667","0","","","","","",
"American Samoa","ASM","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Australia","AUS","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","58976.361","60021.456","61535.927","63780.131","67190.441","71117.798","71458.829","75466.86","76647.634","78041.094","74355.759","74322.756","77799.072","79779.252","85272.418","87014.243","88943.085","96258.75","104164.802","107402.763","118084.734","121242.021","123574.233","122389.792","128051.64","135800.011","134567.899","147512.409","150625.692","161923.719","143001.999","147563.747","151241.748","152459.192","151150.073","153188.925","166089.431","173867.138","185403.52","189660.907","189976.269","193544.26","198058.337","189440.887","196169.832","202733.762","209396.701","207390.852","208267.265","215168.559","206294.419","199070.429","195443.766","174780.221","163394.186","","","","","",
"Austria","AUT","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","18063.642","17674.94","18100.312","19614.783","18951.056","17979.301","16857.199","15764.433","15397.733","15339.061","17814.286","15060.369","15647.089","15867.109","16618.844","14576.325","14279.298","12552.141","12845.501","14447.98","14202.291","14653.332","14139.952","14407.643","16868.2","16670.182","14737.673","14811.013","14297.633","13857.593","15713.095","16439.161","12750.159","11441.04","11613.389","13215.868","13274.54","14106.949","12361.457","12302.785","13901.597","14334.303","14561.657","15639.755","15247.386","15511.41","15584.75","14785.344","14341.637","10905.658","12970.179","13197.533","12255.114","12475.134","11474.043","","","","","",
"Azerbaijan","AZE","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.006","11.001","3.667","14.668","14.668","14.668","3.667","0","0","0","0","0","0","0","0","22.002","14.668","14.668","22.002","18.335","14.668","11.001","7.334","","","","","",
